date_trans,price_trans,appr,xx,yy,id_zip,age,area,sfla,id_market
6/6/2001,458900,339840,871377.5529,1025438.02,63130,73,0.2110673,2558,Central
1/31/2008,253500,262400,800350.5894,1001511.293,63021,19,0.279857438,2146,Southwest
8/1/2001,124000,113000,873589.4954,1093422.495,63034,16,0.190932585,1146,North
5/2/2006,153000,120600,780804.1636,974181.512,63025,27,0.130726857,1700,Southwest
10/15/2001,85000,50690,862019.4572,1047473.672,63114,66,0.181570777,988,East70
9/1/2004,167000,131200,858543.3898,1079565.626,63031,25,0.282624129,1594,North
10/29/2008,93000,92800,876294.0024,995796.4274,63123,62,0.154959578,910,South
5/31/2007,96000,100800,882903.8947,982197.5287,63125,53,0.118895484,840,South
11/2/2001,215000,195000,854109.6927,1005883.437,63122,60,0.233890779,1314,South
1/28/2005,97500,70400,907221.3618,1064970.928,63137,51,0.165381869,1272,North
3/24/2003,454000,279300,804603.5746,993505.1651,63021,8,1.723817218,2705,Southwest
5/2/2007,178000,197800,839668.2678,1057447.271,63043,37,0.220085994,1510,West70
9/7/2004,172450,133500,835484.6597,1035682.755,63146,42,0.301872982,1508,West70
6/18/2002,67000,50070,861998.994,1050185.526,63114,63,0.110200945,1050,East70
5/21/2008,185000,150500,805169.8879,1002159.563,63021,53,0.448004984,1104,Southwest
